,0,1,2,3,4,5,6,7,8,9,10,11
0,F00,0.3382,311,32,0.1692,0.4474,46,180,0.3242,0.729,0.2308,0.3934
1,F01,0.324,254,52,0.2821,0.6576,103,160,0.4765,0.9658,0.372,0.1526
2,F02,0.3329,313,30,0.1596,0.4279,44,182,0.3136,0.7112,0.2208,0.4122
3,F03,0.2169,324,41,0.1994,0.5069,33,171,0.2712,0.6385,0.2252,0.3985
4,F04,0.3948,222,67,0.3562,0.7812,135,145,0.4994,0.9991,0.4266,0.0642
5,F05,0.2606,282,44,0.2335,0.5709,75,168,0.4268,0.8916,0.316,0.2448
6,F06,0.2081,319,28,0.1484,0.4046,38,184,0.2837,0.6604,0.2012,0.4482
7,F07,0.2431,325,18,0.0994,0.2968,32,194,0.2431,0.5884,0.1565,0.54
8,F08,0.3796,227,78,0.3807,0.8202,130,134,0.4999,0.9998,0.436,0.0491
9,F09,0.2704,205,123,0.4688,0.9544,152,89,0.4658,0.9501,0.4675,0.0
10,F10,0.1063,313,61,0.273,0.6417,44,151,0.3495,0.7703,0.2992,0.2669
11,F11,0.1893,205,128,0.4733,0.9611,152,84,0.4585,0.9393,0.4671,0.0006
12,F12,0.0994,314,60,0.2694,0.6353,43,152,0.3438,0.7611,0.2949,0.2742
13,F13,0.0626,344,62,0.2588,0.6166,13,150,0.1468,0.4013,0.2267,0.3977
14,F14,0.1811,207,141,0.482,0.9739,150,71,0.4361,0.9058,0.4642,0.0052
15,F15,0.1744,267,86,0.3685,0.801,90,126,0.4861,0.9799,0.4132,0.0837
16,F16,0.0805,274,82,0.3546,0.7786,83,130,0.4757,0.9646,0.3999,0.1044
17,F17,0.2235,263,59,0.2993,0.6871,94,153,0.4715,0.9584,0.374,0.1478
18,F18,0.1781,215,143,0.4798,0.9706,142,69,0.4402,0.9118,0.4651,0.0038
19,F19,0.1002,250,111,0.4259,0.8902,107,101,0.4996,0.9994,0.4528,0.0225
20,F20,0.2967,329,25,0.1313,0.3682,28,187,0.2265,0.5581,0.1673,0.5127
21,F21,0.364,249,52,0.2858,0.664,108,160,0.4812,0.9727,0.3778,0.1433
22,F22,0.2831,331,21,0.1122,0.3261,26,191,0.2109,0.5288,0.1498,0.5492
23,F23,0.1709,348,37,0.1737,0.4565,9,175,0.093,0.2818,0.1476,0.5526
24,F24,0.4041,233,60,0.3257,0.7314,124,152,0.4949,0.9926,0.4077,0.0946
25,F25,0.2202,292,56,0.27,0.6365,65,156,0.4152,0.874,0.3264,0.2239
26,F26,0.2174,301,31,0.1693,0.4476,56,181,0.3609,0.7888,0.2491,0.3629
27,F27,0.3938,312,16,0.0928,0.2812,45,196,0.3037,0.6946,0.1821,0.4964
28,F28,0.2633,247,75,0.3573,0.7831,110,137,0.494,0.9914,0.4167,0.0791
29,F29,0.1896,257,92,0.3882,0.8321,100,120,0.4959,0.994,0.4299,0.0579
